field,rank,value_repr,count,ratio
pair,1,None,1196127,0.98215234
pair,2,'fix-015896',2,1.64e-06
pair,3,'fix-015897',2,1.64e-06
pair,4,'fix-015898',2,1.64e-06
pair,5,'fix-015899',2,1.64e-06
pair,6,'fix-015900',2,1.64e-06
pair,7,'fix-015901',2,1.64e-06
pair,8,'fix-015902',2,1.64e-06
pair,9,'fix-015903',2,1.64e-06
pair,10,'fix-015904',2,1.64e-06
pair,11,'fix-015905',2,1.64e-06
pair,12,'fix-015906',2,1.64e-06
pair,13,'fix-015907',2,1.64e-06
pair,14,'fix-015908',2,1.64e-06
pair,15,'fix-015909',2,1.64e-06
pair,16,'fix-015910',2,1.64e-06
pair,17,'fix-015911',2,1.64e-06
pair,18,'fix-015912',2,1.64e-06
pair,19,'fix-015913',2,1.64e-06
pair,20,'fix-015914',2,1.64e-06
lines,1,None,463972,0.38097224
lines,2,"[[17, 27]]",14963,0.01228628
lines,3,"[[18, 28]]",14883,0.01222059
lines,4,"[[19, 29]]",14793,0.01214669
lines,5,"[[20, 30]]",14711,0.01207936
lines,6,"[[22, 32]]",14709,0.01207771
lines,7,"[[16, 26]]",14439,0.01185601
lines,8,"[[14, 24]]",14422,0.01184205
lines,9,"[[21, 31]]",14390,0.01181578
lines,10,"[[15, 25]]",14307,0.01174763
lines,11,"[[23, 33]]",14222,0.01167783
lines,12,"[[26, 36]]",14219,0.01167537
lines,13,"[[24, 34]]",14098,0.01157601
lines,14,"[[27, 37]]",14019,0.01151115
lines,15,"[[25, 35]]",13896,0.01141015
lines,16,"[[28, 38]]",13775,0.0113108
lines,17,"[[13, 23]]",13755,0.01129437
lines,18,"[[29, 39]]",13488,0.01107514
lines,19,"[[12, 22]]",13214,0.01085015
lines,20,"[[30, 40]]",13203,0.01084112
summary,1,None,450807,0.37016233
summary,2,"'libvpx in mediaserver in Android 4.x before 4.4.4, 5.x before 5.1.1 LMY49H, and 6.0 before 2016-03-01 allows remote attackers to execute arbitrary code or cause a denial of service (memory corruption) via a crafted media file, related to libwebm/mkvparser.cpp and other files, aka internal bug 23452792.'",365,0.00029971
summary,3,"'Unspecified vulnerability in libpng before 1.6.20, as used in Android 4.x before 4.4.4, 5.0.x before 5.0.2, 5.1.x before 5.1.1, and 6.x before 2016-07-01, allows attackers to gain privileges via a crafted application, as demonstrated by obtaining Signature or SignatureOrSystem access, aka internal bug 23265085.'",179,0.00014698
summary,4,"""Fix sign and conversion warnings (major)\n\nThis makes all integer type conversions that have potential data loss\nexplicit with calls that do range checks and raise an exception. After\nthis commit, qpdf builds with no warnings when -Wsign-conversion\n-Wconversion is used with gcc or clang or when -W3 -Wd4800 is used\nwith MSVC. This significantly reduces the likelihood of potential\ncrashes from bogus integer values.\n\nThere are some parts of the code that take int when they should take\n...",174,0.00014287
summary,5,"'[tflite]: Insert `nullptr` checks when obtaining tensors.\n\nAs part of ongoing refactoring, `tflite::GetInput`, `tflite::GetOutput`, `tflite::GetTemporary` and `tflite::GetIntermediates` will return `nullptr` in some cases. Hence, we insert the `nullptr` checks on all usages.\n\nWe also insert `nullptr` checks on usages of `tflite::GetVariableInput` and `tflite::GetOptionalInputTensor` but only in the cases where there is no obvious check that `nullptr` is acceptable (that is, we only inser...",160,0.00013138
summary,6,"'Google Chrome before 13.0.782.107 does not properly handle nested functions in PDF documents, which allows remote attackers to cause a denial of service (application crash) or possibly have unspecified other impact via a crafted document.'",79,6.487e-05
summary,7,"'Bluetooth in Android 4.x before 4.4.4, 5.0.x before 5.0.2, 5.1.x before 5.1.1, and 6.x before 2016-08-01 allows attackers to cause a denial of service (loss of Bluetooth 911 functionality) via a crafted application that sends a signal to a Bluetooth process, aka internal bug 28885210.'",78,6.405e-05
summary,8,'Buffer overflow in the ReadVIFFImage function in coders/viff.c in ImageMagick before 6.9.4-5 allows remote attackers to cause a denial of service (application crash) via a crafted file.',77,6.323e-05
summary,9,"'The Performance Events subsystem in the Linux kernel before 3.1 does not properly handle event overflows associated with PERF_COUNT_SW_CPU_CLOCK events, which allows local users to cause a denial of service (system hang) via a crafted application.'",74,6.076e-05
summary,10,"'The browser native UI in Google Chrome before 17.0.963.83 does not require user confirmation before an unpacked extension installation, which allows user-assisted remote attackers to have an unspecified impact via a crafted extension.'",71,5.83e-05
summary,11,"'libvpx in libwebm in mediaserver in Android 4.x before 4.4.4, 5.0.x before 5.0.2, 5.1.x before 5.1.1, and 6.x before 2016-06-01 allows remote attackers to execute arbitrary code or cause a denial of service (memory corruption) via a crafted mkv file, aka internal bug 23167726.'",71,5.83e-05
summary,12,"'Integer overflow in the SplFileObject::fread function in spl_directory.c in the SPL extension in PHP before 5.5.37 and 5.6.x before 5.6.23 allows remote attackers to cause a denial of service or possibly have unspecified other impact via a large integer argument, a related issue to CVE-2016-5096.'",63,5.173e-05
summary,13,'Multiple unspecified vulnerabilities in Google Chrome before 47.0.2526.73 allow attackers to cause a denial of service or possibly have other impact via unknown vectors.',60,4.927e-05
summary,14,"'The HTML parser in Google Chrome before 12.0.742.112 does not properly address *lifetime and re-entrancy issues,* which allows remote attackers to cause a denial of service or possibly have unspecified other impact via unknown vectors.'",56,4.598e-05
summary,15,"'The parse_string function in cjson.c in the cJSON library mishandles UTF8/16 strings, which allows remote attackers to cause a denial of service (crash) or execute arbitrary code via a non-hex character in a JSON string, which triggers a heap-based buffer overflow.'",54,4.434e-05
summary,16,'tpm2: Restore original value if unmarshalled value was illegal\n\nRestore the original value of the memory location where data from\na stream was unmarshalled and the unmarshalled value was found to\nbe illegal. The goal is to not keep illegal values in memory.\n\nSigned-off-by: Stefan Berger <stefanb@linux.ibm.com>',54,4.434e-05
summary,17,'An object lifetime issue in the developer tools network handler in Google Chrome prior to 66.0.3359.117 allowed a local attacker to execute arbitrary code via a crafted HTML page.',52,4.27e-05
summary,18,"'The NFSv4 implementation in the Linux kernel through 4.11.1 allows local users to cause a denial of service (resource consumption) by leveraging improper channel callback shutdown when unmounting an NFSv4 filesystem, aka a *module reference and kernel daemon* leak.'",51,4.188e-05
summary,19,'Integer overflow in jas_image.c in JasPer before 1.900.25 allows remote attackers to cause a denial of service (application crash) via a crafted file.',49,4.023e-05
summary,20,"'numbers.c in libxslt before 1.1.29, as used in Google Chrome before 51.0.2704.63, mishandles namespace nodes, which allows remote attackers to cause a denial of service (out-of-bounds heap memory access) or possibly have unspecified other impact via a crafted document.'",47,3.859e-05
cwe_id,1,None,316401,0.25980016
cwe_id,2,['CWE-476'],300079,0.24639799
cwe_id,3,['CWE-120'],225071,0.18480814
cwe_id,4,['CWE-119'],35436,0.02909687
cwe_id,5,['CWE-20'],32869,0.02698908
cwe_id,6,['CWE-125'],22539,0.01850701
cwe_id,7,['CWE-416'],21830,0.01792484
cwe_id,8,['CWE-788'],20727,0.01701916
cwe_id,9,['CWE-399'],19012,0.01561095
cwe_id,10,['CWE-129'],18103,0.01486456
cwe_id,11,['CWE-787'],16568,0.01360416
cwe_id,12,['CWE-264'],16253,0.01334551
cwe_id,13,['CWE-200'],15168,0.0124546
cwe_id,14,['CWE-362'],10245,0.00841228
cwe_id,15,['CWE-189'],9230,0.00757885
cwe_id,16,['CWE-190'],9038,0.0074212
cwe_id,17,['CWE-369'],6242,0.00512537
cwe_id,18,"['CWE-119', 'CWE-787']",5548,0.00455552
cwe_id,19,['CWE-703'],5433,0.00446109
cwe_id,20,['CWE-400'],3860,0.00316949
